,Cor,Habitantes,Semana,Óbitos,Óbitos por 100 mil
154,Indígena,12977,SE_20 42,286.0,2203.899206288048
155,Branca,6824668,SE_20 43,233485.0,3421.1920638483807
156,Preta,736083,SE_20 43,34986.0,4752.996605002425
157,Amarela,246244,SE_20 43,8688.0,3528.207793895486
158,Parda,3433218,SE_20 43,92603.0,2697.2653644481647
159,Indígena,12977,SE_20 43,300.0,2311.7823842182324
160,Branca,6824668,SE_20 44,245923.0,3603.4426876149873
161,Preta,736083,SE_20 44,36841.0,5005.006228917119
162,Amarela,246244,SE_20 44,9145.0,3713.796072188561
163,Parda,3433218,SE_20 44,97423.0,2837.6584300793015
164,Indígena,12977,SE_20 44,314.0,2419.6655621484165
165,Branca,6824668,SE_20 45,258466.0,3787.2318477616786
166,Preta,736083,SE_20 45,38710.0,5258.917812257585
167,Amarela,246244,SE_20 45,9604.0,3900.1965530124594
168,Parda,3433218,SE_20 45,102279.0,2979.100074623866
169,Indígena,12977,SE_20 45,329.0,2535.254681359328
170,Branca,6824668,SE_20 46,271146.0,3973.0284315661947
171,Preta,736083,SE_20 46,40595.0,5515.003063513218
172,Amarela,246244,SE_20 46,10069.0,4089.0336414288267
173,Parda,3433218,SE_20 46,107177.0,3121.765061234096
174,Indígena,12977,SE_20 46,344.0,2650.8438005702396
175,Branca,6824668,SE_20 47,283985.0,4161.154799031982
176,Preta,736083,SE_20 47,42496.0,5773.261982684018
177,Amarela,246244,SE_20 47,10544.0,4281.93174249931
178,Parda,3433218,SE_20 47,112123.0,3265.828153062229
179,Indígena,12977,SE_20 47,359.0,2766.432919781151
180,Branca,6824668,SE_20 48,297016.0,4352.094490164211
181,Preta,736083,SE_20 48,44427.0,6035.596529195756
182,Amarela,246244,SE_20 48,11028.0,4478.4847549584965
183,Parda,3433218,SE_20 48,117120.0,3411.3767316843846
184,Indígena,12977,SE_20 48,374.0,2882.022038992063
185,Branca,6824668,SE_20 49,310275.0,4546.375003150337
186,Preta,736083,SE_20 49,46385.0,6301.59914031434
187,Amarela,246244,SE_20 49,11520.0,4678.2865775409755
188,Parda,3433218,SE_20 49,122193.0,3559.138976901554
189,Indígena,12977,SE_20 49,389.0,2997.6111582029744
190,Branca,6824668,SE_20 50,323796.0,4744.49453072296
191,Preta,736083,SE_20 50,48383.0,6573.0359212208405
192,Amarela,246244,SE_20 50,12023.0,4882.5555140429815
193,Parda,3433218,SE_20 50,127332.0,3708.823616793341
194,Indígena,12977,SE_20 50,405.0,3120.9062186946135
195,Branca,6824668,SE_20 51,337618.0,4947.024529251826
